Subject,Date,ExpCode,IsGood,NTrials,NEVDir,NEVFName,NS2FName,PTBFName,EDFName,NCentreOut,NCueColour,NDiagonal
JerryLee,2009-07-09,sra3_2,1,1679,090709,datafile004.nev,datafile004.ns2,sra3_2_j_061_00+01.ptbmat,sra3_2_j_061_00+01_1.edf,0,0,1679
JerryLee,2009-07-10,sra3_1,1,302,090710,datafile003.nev,datafile003.ns2,sra3_1_j_062_00+01.ptbmat,sra3_1_j_062_00+01_1.edf,302,0,0
JerryLee,2009-07-10,sra3_2,1,214,090710,datafile004.nev,datafile004.ns2,sra3_2_j_062_00+01.ptbmat,sra3_2_j_062_00+01_1.edf,0,0,214
JerryLee,2009-07-10,sra3_2,1,1763,090710,datafile005.nev,datafile005.ns2,sra3_2_j_062_00+02.ptbmat,sra3_2_j_062_00+02_1.edf,0,0,1763
JerryLee,2009-07-11,sra3_1,1,5,090711,datafile003.nev,datafile003.ns2,sra3_1_j_063_00+01.ptbmat,sra3_1_j_063_00+01_1.edf,5,0,0
JerryLee,2009-07-11,sra3_1,1,258,090711,datafile004.nev,datafile004.ns2,sra3_1_j_063_00+02.ptbmat,sra3_1_j_063_00+02_1.edf,258,0,0
JerryLee,2009-07-11,sra3_2,1,1776,090711,datafile005.nev,datafile005.ns2,sra3_2_j_063_00+01.ptbmat,sra3_2_j_063_00+01_1.edf,0,0,1776
JerryLee,2009-07-12,sra3_1,1,206,090712,datafile003.nev,datafile003.ns2,sra3_1_j_064_00+01.ptbmat,sra3_1_j_064_00+01_1.edf,206,0,0
JerryLee,2009-07-12,sra3_2,1,2066,090712,datafile004.nev,datafile004.ns2,sra3_2_j_064_00+01.ptbmat,sra3_2_j_064_00+01_1.edf,0,0,2066
JerryLee,2009-07-15,sra3_1,1,254,090715,datafile006.nev,datafile006.ns2,sra3_1_j_065_00+01.ptbmat,sra3_1_j_065_00+01_1.edf,254,0,0
JerryLee,2009-07-15,sra3_2,1,1450,090715,datafile007.nev,datafile007.ns2,sra3_2_j_065_00+01.ptbmat,sra3_2_j_065_00+01_1.edf,0,0,1450
JerryLee,2009-07-16,sra3_1,1,266,090716,datafile003.nev,datafile003.ns2,sra3_1_j_066_00+01.ptbmat,sra3_1_j_066_00+01_1.edf,266,0,0
JerryLee,2009-07-16,sra3_2,1,1947,090716,datafile004.nev,datafile004.ns2,sra3_2_j_066_00+01.ptbmat,sra3_2_j_066_00+01_1.edf,0,0,1947
JerryLee,2009-07-17,sra3_1,1,192,090717,datafile003.nev,datafile003.ns2,sra3_1_j_067_00+01.ptbmat,sra3_1_j_067_00+01_1.edf,192,0,0
JerryLee,2009-07-17,sra3_2,1,1800,090717,datafile004.nev,datafile004.ns2,sra3_2_j_067_00+01.ptbmat,sra3_2_j_067_00+01_1.edf,0,0,1800
Marty,2009-07-07,sra3_1,1,129,090707,datafile002.nev,none,sra3_1_m_033_00+.ptbmat,sra3_1_m_033_00+_xxx.edf,129,0,0
Marty,2009-07-07,sra3_1,1,254,090707,datafile004.nev,none,sra3_1_m_033_00+xxx.ptbmat,,254,0,0
Marty,2009-07-07,sra3_1,1,2,090707,datafile005.nev,none,sra3_1_m_034_00+.ptbmat,sra3_1_m_034_00+03_1.edf,0,2,0
Marty,2009-07-07,sra3_1,1,948,090707,datafile007.nev,none,sra3_1_m_034_00+03.ptbmat,sra3_1_m_034_00+03_1.edf,0,948,0
Marty,2009-07-08,sra3_1,1,141,090708,datafile002.nev,none,sra3_1_m_035_00+02.ptbmat,sra3_1_m_035_00+02_1.edf,141,0,0
Marty,2009-07-08,sra3_1,1,231,090708,datafile003.nev,none,sra3_1_m_035_00+03.ptbmat,sra3_1_m_035_00+03_1.edf,231,0,0
Marty,2009-07-08,sra3_1,1,1584,090708,datafile004.nev,none,sra3_1_m_035_00+04.ptbmat,sra3_1_m_035_00+04_1.edf,0,1584,0
Marty,2009-07-10,sra3_1,1,257,090710,datafile001.nev,none,sra3_1_m_037_00+01.ptbmat,sra3_1_m_037_00+01_1.edf,257,0,0
Marty,2009-07-10,sra3_1,1,1256,090710,datafile002.nev,none,sra3_1_m_037_00+02.ptbmat,sra3_1_m_037_00+02_1.edf,0,1256,0
Marty,2009-07-11,sra3_1,1,239,090711,datafile001.nev,none,sra3_1_m_038_00+02.ptbmat,sra3_1_m_038_00+02_1.edf,239,0,0
Marty,2009-07-11,sra3_1,1,1750,090711,datafile002.nev,none,sra3_1_m_038_00+03.ptbmat,sra3_1_m_038_00+03_1.edf,0,1750,0
Marty,2009-07-12,sra3_1,1,184,090712,datafile001.nev,none,sra3_1_m_039_00+01.ptbmat,sra3_1_m_039_00+01_1.edf,184,0,0
Marty,2009-07-12,sra3_1,1,1566,090712,datafile002.nev,none,sra3_1_m_039_00+02.ptbmat,sra3_1_m_039_00+02_1.edf,0,1566,0
Marty,2009-07-13,sra3_1,1,3,090713,datafile001.nev,none,sra3_1_m_040_00+01.ptbmat,sra3_1_m_040_00+01_1.edf,3,0,0
Marty,2009-07-13,sra3_1,1,228,090713,datafile002.nev,none,sra3_1_m_040_00+02.ptbmat,sra3_1_m_040_00+02_1.edf,228,0,0
Marty,2009-07-13,sra3_1,1,1381,090713,datafile003.nev,none,sra3_1_m_040_00+03.ptbmat,sra3_1_m_040_00+03_1.edf,0,1381,0
